image,Adidas,Amazon,BMW,Apple,Audi,Mercedes,Coca-Cola,DHL,Google,IKEA,InPost,KFC,McDonalds,Pepsi,NewYorker,Zara,Nike,UFC
adidas_val_01.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas_val_02.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas_val_03.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas_val_04.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas_val_05.jpg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas_val_06.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas_val_07.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas_val_08.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas_val_09.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas_val_10.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon_val_01.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon_val_02.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon_val_03.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon_val_04.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon_val_05.jpg,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon_val_06.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon_val_07.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon_val_08.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon_val_09.jpg,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon_val_10.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple_val_01.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple_val_02.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple_val_03.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple_val_04.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple_val_05.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple_val_06.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple_val_07.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple_val_08.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple_val_09.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple_val_10.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audi_val_01.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
audi_val_02.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
audi_val_03.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
audi_val_04.jpg,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
audi_val_05.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
audi_val_06.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
audi_val_07.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
audi_val_08.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
audi_val_09.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
audi_val_10.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bmw_val_01.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bmw_val_02.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bmw_val_03.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bmw_val_04.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bmw_val_05.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bmw_val_06.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bmw_val_07.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bmw_val_08.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bmw_val_09.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bmw_val_10.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cocacola_val_01.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cocacola_val_02.jpg,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
cocacola_val_03.jpg,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
cocacola_val_04.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cocacola_val_05.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cocacola_val_06.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cocacola_val_07.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cocacola_val_08.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cocacola_val_09.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cocacola_val_10.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dhl_val_01.jpg,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
dhl_val_02.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dhl_val_03.jpg,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
dhl_val_04.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dhl_val_05.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dhl_val_06.jpg,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
dhl_val_07.jpg,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
dhl_val_08.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
