epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,10595.2,1.01472,0.90306,1.11931,0,0,0,0,0,68.1512,0,0.000220766,0.000220766,0.000220766
28,10994.7,1.01094,0.89655,1.12032,0,0,0,0,0,77.7141,0,0.000211757,0.000211757,0.000211757
29,11387,1.00056,0.87845,1.10479,0,0,0,0,0,70.082,0,0.000202748,0.000202748,0.000202748
30,11812.8,0.97538,0.86016,1.09676,0,0,0,0,0,72.2841,0,0.000193739,0.000193739,0.000193739
31,12212.1,0.98328,0.84811,1.1019,0,0,0,0,0,68.5798,0,0.00018473,0.00018473,0.00018473
32,12646.7,0.97375,0.83522,1.09633,0,0,0,0,0,77.571,0,0.000175721,0.000175721,0.000175721
33,13080,0.97914,0.83317,1.09815,0,0,0,0,0,75.7322,0,0.000166712,0.000166712,0.000166712
34,13485.7,0.97405,0.83545,1.10009,0,0,0,0,0,74.7786,0,0.000157703,0.000157703,0.000157703
35,13889.3,0.95967,0.80749,1.09003,0,0,0,0,0,74.374,0,0.000148694,0.000148694,0.000148694
36,14293.6,0.95075,0.79877,1.09002,0,0,0,0,0,69.6966,0,0.000139685,0.000139685,0.000139685
37,14681,0.93823,0.78737,1.08207,0,0,0,0,0,73.5585,0,0.000130676,0.000130676,0.000130676
38,15043.6,0.93418,0.78597,1.08258,0,0,0,0,0,76.6151,0,0.000121667,0.000121667,0.000121667
39,15406.5,0.92409,0.76638,1.07087,0,0,0,0,0,76.2036,0,0.000112658,0.000112658,0.000112658
40,15770.1,0.91951,0.76657,1.07618,0,0,0,0,0,79.4695,0,0.000103649,0.000103649,0.000103649
41,16129.4,0.84717,0.60237,1.01023,0,0,0,0,0,71.255,0,9.464e-05,9.464e-05,9.464e-05
42,16490.1,0.82462,0.58449,1.00595,0,0,0,0,0,70.5186,0,8.5631e-05,8.5631e-05,8.5631e-05
43,16848.3,0.82052,0.57478,1.00108,0,0,0,0,0,77.8649,0,7.6622e-05,7.6622e-05,7.6622e-05
44,17208.4,0.80868,0.56451,0.99499,0,0,0,0,0,76.112,0,6.7613e-05,6.7613e-05,6.7613e-05
45,17569,0.79542,0.56238,0.9908,0,0,0,0,0,76.3748,0,5.8604e-05,5.8604e-05,5.8604e-05
46,17925.8,0.7812,0.54462,0.98594,0,0,0,0,0,77.1126,0,4.9595e-05,4.9595e-05,4.9595e-05
47,18286.3,0.77793,0.53936,0.98023,0,0,0,0,0,80.9655,0,4.0586e-05,4.0586e-05,4.0586e-05
48,18646.6,0.77281,0.53788,0.97837,0,0,0,0,0,78.1852,0,3.1577e-05,3.1577e-05,3.1577e-05
49,19007.6,0.75963,0.52573,0.97373,0,0,0,0,0,80.6141,0,2.2568e-05,2.2568e-05,2.2568e-05
50,19386.8,0.74856,0.51813,0.97101,0,0,0,0,0,78.7112,0,1.3559e-05,1.3559e-05,1.3559e-05
